2026-09-13T03:26:24.229054+00:00	RUN	now recording run_id=E_duration_rep2 -> C:\r3\data\subscriber_E_duration_rep2.csv
2026-09-13T03:32:17.289396+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:32:21.633951+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:32:26.024965+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T03:32:30.197651+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T03:32:34.416794+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:32:42.037432+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:32:46.310393+00:00	SAMPLE_GAP	7.6s between samples
2026-09-13T03:32:50.470637+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T03:32:54.658109+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:32:58.830372+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:02.987425+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:07.175310+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:11.347567+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:15.520237+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:19.692487+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:23.865155+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:28.037412+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:32.209667+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:36.381827+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:40.554078+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:44.726747+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:48.899001+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:53.071259+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:33:57.243919+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:01.416177+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:05.588835+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:09.761102+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:13.933363+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:18.105529+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:22.277781+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:26.544199+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:30.732087+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T03:34:34.904341+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:39.077030+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:43.249283+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:47.421962+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:51.641094+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:34:55.813354+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:00.032887+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:04.252021+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:08.424677+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:12.596950+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:16.784836+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:21.051260+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:35:25.317266+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T03:35:29.489994+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T03:35:29.489994+00:00	LEVEL	idle -> E01 (state=drain)
2026-09-13T03:35:29.489994+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T03:38:12.163142+00:00	LEVEL	E01 -> E02 (state=drain)
2026-09-13T03:43:53.721997+00:00	LEVEL	E02 -> E03 (state=drain)
2026-09-13T03:54:36.657790+00:00	LEVEL	E03 -> E04 (state=reset)
2026-09-13T04:04:10.827906+00:00	SAMPLE_GAP	3.6s between samples
2026-09-13T04:04:42.093947+00:00	SAMPLE_GAP	4.1s between samples
2026-09-13T04:05:11.889019+00:00	SAMPLE_GAP	3.7s between samples
2026-09-13T04:06:26.386746+00:00	SAMPLE_GAP	17.1s between samples
2026-09-13T04:06:33.215696+00:00	SAMPLE_GAP	30.2s between samples
2026-09-13T04:06:55.844398+00:00	SAMPLE_GAP	6.8s between samples
2026-09-13T04:06:55.844398+00:00	SAMPLE_GAP	22.6s between samples
2026-09-13T04:07:12.506033+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:07:16.897038+00:00	SAMPLE_GAP	4.3s between samples
2026-09-13T04:07:21.100543+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:07:25.273208+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:29.445479+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:33.618139+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:37.774788+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:41.962676+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:46.135353+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:50.291986+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:54.495898+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:07:58.652535+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:02.840414+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:07.044333+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:11.404094+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:15.592426+00:00	SAMPLE_GAP	4.4s between samples
2026-09-13T04:08:19.764675+00:00	SAMPLE_GAP	4.2s between samples
2026-09-13T04:08:23.936923+00:00	SAMPLE_GAP	4.2s between samples
