family,run_id,repeat,region,level_id,label,order_index,clients,rows_per_commit,row_bytes,target_wal_mbps,rtt_ms,duration_sec,n_samples,lag_median_ms,lag_p95_ms,lag_mean_ms,lag_p05_ms,lag_max_ms,write_lag_median_ms,flush_lag_median_ms,lag_bytes_median,lag_bytes_p95,wal_mbps_mean,wal_mbps_sd,wal_mbps_level,commits_per_sec,rows_per_sec,wal_bytes_delta,xact_commit_delta,tup_inserted_delta,wal_bytes_per_row,manifest_measured_wal_mbps,loadgen_commits,loadgen_rows,loadgen_commits_per_sec,loadgen_rows_per_sec,sql_errors,setpoint_error_pct,exceeded_capacity,pre_drained,post_drained,pre_start_backlog,post_drain_sec,lag_growth_bytes_per_sec,peak_lag_bytes,pub_cpu_mean,load_seconds,lag_median_first60_ms,lag_median_third1_ms,lag_median_third2_ms,lag_median_third3_ms,sub_rows_applied_per_sec,sub_commits_per_sec,sub_cpu_mean,sub_disk_write_mbps
B_concurrency,B_concurrency_rep2,2,centralus,B01,"1 clients @ 8 MB/s (sub-saturation, full sweep)",4,1,10,1000,8,0.0,360,300,16.2205,17.161499999999997,14.692136666666668,5.8472,21.284999999999997,16.220499999999998,16.9605,53444.0,1101548.4,8.975810640220743,20.401425409868185,9.270706809199025,544.4403148416899,5412.192108751524,3331417813,195644,1944865,1712.9301072310932,8.83,194849,1948490,540.87,5408.72,0,10.4,False,True,True,440,10.0,12.2,1131680,2.7146666666666666,360.4,15.696,16.1945,16.163,16.3125,5323.37728146275,534.5782155402682,2.711221122112211,16.608219645899716
B_concurrency,B_concurrency_rep2,2,centralus,B02,"4 clients @ 8 MB/s (sub-saturation, full sweep)",7,4,10,1000,8,0.0,360,300,16.069499999999998,16.784850000000002,15.096393333333335,10.807100000000002,17.732000000000003,16.0695,16.392,85064.0,1152226.4000000001,7.999113143767078,0.525918221151989,8.413539071162251,557.1267622634963,5540.910776793489,3022370771,200135,1990445,1518.439731316364,8.007,199308,1993080,553.1,5531.05,0,0.1,False,True,True,6256,10.0,-1147.5,1189080,1.0430000000000001,360.5,15.542000000000002,15.866,16.086,16.229,5489.9387024221005,551.2260922206248,2.0354515050167223,16.194464425622403
B_concurrency,B_concurrency_rep2,2,centralus,B03,"8 clients @ 8 MB/s (sub-saturation, full sweep)",8,8,10,1000,8,0.0,360,301,16.122,17.089,15.303016611295682,9.440999999999999,18.573,16.122,16.577,69240.0,1129544.0,8.391910576369149,9.016544618342078,8.756639796922562,550.047869602581,5464.93191352969,3154153712,198128,1968476,1602.3328260034666,8.341,196817,1968170,546.24,5462.4,0,4.3,False,True,True,6184,10.0,2487.4,1212296,1.7059800664451827,360.6,15.8365,15.973,16.235,16.2715,5433.232706009612,545.5565576054931,1.9781879194630871,13.956481313350181
B_concurrency,B_concurrency_rep2,2,centralus,B04,"16 clients @ 8 MB/s (sub-saturation, full sweep)",6,16,10,1000,8,0.0,360,300,16.253999999999998,17.50195,15.65920666666667,11.015350000000002,18.617,16.253999999999998,16.8335,61956.0,1134144.8,8.003882622630723,0.49659485262931585,8.417609493595497,557.6620864086174,5545.207045934589,3023647271,200315,1991866,1517.997330643728,8.021,199818,1998180,554.4,5544.0,0,0.3,False,True,True,0,10.0,747.1,1213984,3.143666666666667,360.7,15.958,16.1455,16.1385,16.524,5536.391184506094,555.8494327191269,2.2315436241610738,16.256462190896762
B_concurrency,B_concurrency_rep2,2,centralus,B05,"32 clients @ 8 MB/s (sub-saturation, full sweep)",3,32,10,1000,8,0.0,360,301,16.522,17.905,15.817289036544853,10.815999999999999,18.646,16.522,17.153000000000002,63736.0,1132264.0,8.002726622520779,0.5150399922656702,8.411094064872202,557.2632526854094,5534.754849443604,3029778362,200733,1993686,1519.6868323296646,8.002,199338,1993380,552.68,5526.85,0,0.0,False,True,True,0,10.0,-1888.2,1193080,6.3956810631229235,361.1,16.113,16.294,16.4935,16.723,5494.9835642094695,551.7477027125191,2.561,16.282263536595497
B_concurrency,B_concurrency_rep2,2,centralus,B06,"64 clients @ 8 MB/s (sub-saturation, full sweep)",9,64,10,1000,8,0.0,360,302,16.7915,18.131949999999996,16.15883774834437,10.6166,20.163,16.7915,17.227,63396.0,1147226.4,7.980651825919469,0.689170915322117,8.349617364355716,553.1955549673823,5499.940649126112,3015938627,199818,1986616,1518.128630293927,7.939,198631,1986310,549.01,5490.12,0,-0.8,False,True,True,25440,10.0,-1023.6,1200784,12.01953642384106,362.3,16.223000000000003,16.525000000000002,16.795,16.9685,5461.10905467276,548.3670490854233,2.0993377483443707,16.19802219118917
B_concurrency,B_concurrency_rep2,2,centralus,B07,8 clients @ 30 MB/s (near the apply knee),10,8,10,1000,30,0.0,240,180,16.086,18.01515,14.097133333333334,3.2842000000000007,22.033,16.086,18.108,317472.0,1394196.3999999997,34.803344664216205,80.96380456724394,35.474124370260604,2027.495889141271,20244.62032416327,8485427754,484978,4842523,1752.2741252855176,33.822,487317,4873170,2027.32,20273.2,0,12.7,False,True,True,6216,10.0,-918.2,3761864,8.911666666666667,240.6,15.603,16.146,16.076500000000003,16.055500000000002,19823.968090615606,1984.6473861445097,6.9178770949720665,75.85076385727619
B_concurrency,B_concurrency_rep2,2,centralus,B08,16 clients @ 30 MB/s (near the apply knee),1,16,10,1000,30,0.0,240,180,17.102,23.50255,16.804872222222222,1.4354500000000001,36.059,17.102,21.4595,404772.0,1565751.2,35.21752008116614,83.9618360736571,35.56142617131855,2021.0221733732208,20177.28651426255,8514818219,483913,4831244,1762.4483919669551,33.82,485137,4851370,2015.5,20155.0,0,12.7,False,True,True,0,10.0,2194.6,2490592,10.716111111111111,241.0,16.9215,18.275,16.887999999999998,16.9975,19801.63764056176,1982.4111680708136,9.744262295081967,66.70623737109584
B_concurrency,B_concurrency_rep2,2,centralus,B09,32 clients @ 30 MB/s (near the apply knee),5,32,10,1000,30,0.0,240,181,18.759,24.646,19.1997182320442,8.168999999999999,114.262,18.759,22.456,800952.0,1555208.0,29.980068659730208,2.6911840140818972,31.39869341170763,2062.4249669295564,20590.547183882023,7551900273,496047,4952364,1524.9081596183157,29.92,496407,4964070,2060.18,20601.82,0,-0.3,False,True,True,23200,10.0,39.8,2967072,11.726519337016574,241.3,16.578,18.275,20.0565,19.683,20536.18940796314,2055.8595390824194,7.69888888888889,70.62435928098172
B_concurrency,B_concurrency_rep2,2,centralus,B10,64 clients @ 30 MB/s (near the apply knee),2,64,10,1000,30,0.0,240,181,17.935,25.253999999999998,17.491049723756905,1.322,41.692,17.935,23.078000000000003,1062648.0,1852656.0,34.873753186016664,79.35557957956716,35.08192046384425,2006.1797401533604,20026.8359396857,8444997063,482932,4820904,1751.745536314351,33.332,482070,4820700,1999.9,19999.0,0,11.1,False,True,True,0,10.0,-1497.2,5956096,15.9292817679558,241.6,16.611,18.383,16.426499999999997,20.170499999999997,19895.897585410847,1991.842050758227,9.217222222222222,71.94684729852058
