family,level_id,clients,rpc,rb,tgt,rtt,dur,wal,walmin,walmax,err,commits,rows,tup,bpr,med,medmin,medmax,p95,lagb,pubcpu,subcpu,applied,n,wal_bytes_per_loadgen_row
B_concurrency,B01,1,10,1000,8,0.0,360,8.303100885702715,8.03766012257908,8.815448405872308,3.7887610712839415,551.2800000000001,5512.81,5517.879549741272,1583.2405655963628,16.22,16.154000000000003,16.2205,17.161499999999997,54400.0,2.420107946878422,2.6520097906111677,5443.672319385957,3,1579.3093384910073
B_concurrency,B02,4,10,1000,8,0.0,360,8.084836719369548,7.995443492259794,8.245367140115217,1.0604589921193581,550.9766666666667,5509.776666666668,5512.217183489669,1542.0040992968427,16.069499999999998,16.055,16.2845,16.784850000000002,85064.0,1.2600424510889627,2.398441099962839,5480.000239299705,3,1538.6405403938893
B_concurrency,B03,8,10,1000,8,0.0,360,8.100634760251873,7.979222827252504,8.341750929372811,1.2579345031484133,550.5066666666667,5505.053333333333,5508.521746455211,1546.6205065573724,16.149,16.122,16.378999999999998,17.117150000000002,73920.0,1.8828822443706166,2.393972338817685,5486.3768360925715,3,1542.9698279094846
B_concurrency,B04,16,10,1000,8,0.0,360,8.3500367536521,7.994385207165369,8.88279418332255,4.375459420651252,546.48,5464.816666666667,5465.713222697911,1606.9541536233485,16.253999999999998,16.178,16.464,17.50195,61956.0,3.286316352897748,2.2653384594870882,5439.244051830299,3,1602.1851551587588
B_concurrency,B05,32,10,1000,8,0.0,360,8.059353279736085,7.99925662315113,8.1770812325545,0.7419159967010591,550.4566666666666,5504.610000000001,5512.734899455027,1538.0650472886593,16.407999999999998,16.315,16.522,17.864,58364.0,6.516524547803617,2.51490420314977,5476.576795247992,3,1535.2303659391935
B_concurrency,B06,64,10,1000,8,0.0,360,7.937626016050978,7.930131209800983,7.943957966070888,-0.7796747993627728,548.9433333333333,5489.453333333334,5499.402784813737,1518.3050327111848,16.7065,16.6305,16.7915,18.2961,63396.0,11.958719646799118,2.3807025404527207,5472.981784511662,3,1516.217304711581
B_concurrency,B07,8,10,1000,30,0.0,240,33.96862412568705,33.58682250183486,34.6850743444259,13.228747085623487,2020.9799999999998,20209.786666666667,20216.06109613558,1771.6544247086583,16.086,16.083,16.107999999999997,18.01515,387264.0,9.056111111111111,7.502441208494877,19802.92493425147,3,1762.447303313927
B_concurrency,B08,16,10,1000,30,0.0,240,31.89444534450767,29.8413703668261,33.6944541258436,6.314817815025553,2035.9266666666665,20359.26,20381.65878845664,1649.9502801564634,17.102,16.531,17.570999999999998,23.50255,454456.0,10.583075506445672,8.372531876138433,20136.539502757227,3,1642.680034616311
B_concurrency,B09,32,10,1000,30,0.0,240,32.42397054837418,29.846884916790085,34.22600550367343,8.079901827913913,2031.1866666666665,20311.876666666667,20332.87533119416,1680.9458949126647,17.4825,17.395999999999997,18.759,23.94615,1048988.0,13.07332003273992,8.41563831988413,20087.975150721602,3,1673.8481578872002
B_concurrency,B10,64,10,1000,30,0.0,240,33.69366072405004,33.33516887876372,34.0500183373887,12.31220241350015,2011.17,20111.696666666667,20141.712695673643,1760.4573088451018,17.935,17.185,18.5395,26.289,1057904.0,17.18978305304272,8.47040376442016,19782.99100775622,3,1756.7072819837426
C_batching,C01,16,1,1000,16,0.0,360,16.960653890180854,16.207404540846554,17.337670596788175,6.00408681363033,10567.683333333334,10567.683333333334,10568.022230560398,1685.8319748780843,22.355,22.08,22.812,27.251,21264.0,9.366666666666667,6.2945405453297,10526.454838875392,3,1682.9170644670098
C_batching,C02,16,10,1000,16,0.0,360,16.646481532127172,16.003365109606488,17.256132702605424,4.040509575794826,1092.0766666666666,10920.763333333334,10931.479457444593,1601.2641193790612,16.2165,16.162,16.303,18.75055,83720.0,5.06568438538206,4.155601789709173,10849.557158937814,3,1598.3407465441317
C_batching,C03,16,50,1000,16,0.0,360,16.75539342227208,15.97339918078478,17.364905945741945,4.721208889200486,219.40333333333334,10970.133333333331,10977.666984845162,1605.014129049742,15.886,15.613,16.909,18.974,225536.0,7.472841269841271,4.6768651059085835,10918.44810642852,3,1601.5578734824587
C_batching,C04,16,100,1000,16,0.0,360,17.065640814597298,16.024929660386892,17.593063907607426,6.6602550912330996,109.79333333333334,10979.31,10977.363531718807,1634.7957111829166,15.664,15.353000000000002,16.646,19.946,301152.0,8.481773717238834,4.664333333333334,10905.186756522273,3,1629.8493605524552
C_batching,C05,16,500,1000,16,0.0,360,16.97237598752459,16.08698608007998,17.74477642373254,6.077349922028678,22.05333333333333,11027.533333333333,11028.012369664953,1619.6943157376488,9.127,9.124,9.229,33.312000000000005,751172.0,24.52623721251224,4.47759822805023,10946.974548180844,3,1613.8537590903907
C_batching,C06,16,1000,1000,16,0.0,360,16.639707701450522,16.077769094556984,17.055682462524818,3.998173134065771,11.033333333333333,11032.173333333334,11047.665678859601,1583.438430090282,20.6335,17.853499999999997,21.435,57.51745000000002,428984.0,24.89974234034699,4.177487127977012,10963.20428069213,3,1581.5558381445705
D_rowsize,D01,16,1,100,6,0.0,360,6.005628276350571,5.9885789681009305,6.016162713192519,0.09380460584284726,9642.41,9642.41,9644.691314063863,654.3907002901864,48.411,48.262,48.957,54.122,9096.0,7.4506327057954955,5.398605181922875,9599.73739636177,3,653.089598503131
D_rowsize,D02,16,1,1000,6,0.0,360,6.1181836439181865,5.97843211400271,6.386724707821256,1.9697273986364487,4004.653333333333,4004.653333333333,4008.9926053221498,1607.7105292181393,22.054,21.9705,22.151,24.70055,10796.0,5.176444444444445,2.78663099219621,3982.8035112583552,3,1601.9814946791457
D_rowsize,D03,16,1,10000,6,0.0,360,5.994634852933873,5.989715313362818,5.998152361902333,-0.08941911776878526,550.64,550.64,3855.7926269178956,1635.9672457497873,7.1155,7.093999999999999,7.2545,7.669700000000001,54880.0,3.253343300110742,1.2868242289111855,3844.414184538615,3,11415.498756991845
D_rowsize,D04,16,1,50000,6,0.0,360,6.007816637597898,5.993937249328951,6.034192711271782,0.13027729329830876,115.50666666666666,115.50666666666666,3121.162558509172,2024.2600527587672,4.0,3.936,4.011,5.043,105776.0,3.08012476928756,1.2460252694165737,3108.3338560505604,3,54539.29647858006
D_rowsize,D05,16,1,100000,6,0.0,360,6.391950797712444,6.010225804717315,6.59959160832238,6.532513295207394,57.73666666666667,57.73666666666667,3004.451472267254,2237.8174008800106,2.489,2.3040000000000003,3.438,4.547,106256.0,3.680443337024732,1.2747821782178217,2973.059373845099,3,116086.47652552607
D_rowsize,D06,16,1,250000,6,0.0,360,6.195504374227582,6.015638788508127,6.554044062176724,3.258406237126373,23.349999999999998,23.349999999999998,2969.9264671487326,2194.292385429052,3.181,3.072,3.219,6.45045,263208.0,8.725155777039499,1.4001746305065288,2946.5785179195086,3,278220.86486980994
E_duration,E01,16,10,1000,32,0.0,120,31.63999077157971,31.569127366008395,31.710854177151027,-1.1250288388134022,2216.215,22162.145,22202.580415967976,1514.8501300951757,16.611,16.3345,16.887500000000003,22.487325,952916.0,12.575833333333335,7.695198412698414,21661.12786121676,2,1497.0092002962695
E_duration,E02,16,10,1000,32,0.0,300,33.92391607846881,32.730817696548215,35.1170144603894,6.012237745215021,2173.1,21731.004999999997,21796.357341934036,1639.8288201554687,16.692,16.363500000000002,17.0205,24.031475,654052.0,12.702916666666667,7.9592744665706,21477.34585566814,2,1636.914824045023
E_duration,E03,16,10,1000,32,0.0,600,34.32851136456871,32.733171360545285,35.92385136859214,7.276598014277225,2179.34,21793.394999999997,21815.239851603816,1652.6353608115555,16.652749999999997,16.3345,16.971,23.15467499999999,1076412.0,13.583929683916505,8.667375231053605,21716.571218952045,2,1651.695531265964
E_duration,E04,16,10,1000,32,0.0,1200,36.62337062461111,35.336949886379145,37.90979136284307,14.448033201909716,2155.67,21556.68,21561.53902651139,1782.3418941591983,15.89875,15.809,15.988499999999998,28.788399999999626,1075714.0,13.214790851918199,12.186795724944547,21512.374040981063,2,1781.461128340367
E_duration,E05,16,10,1000,32,0.0,1800,35.239438729773795,33.433964590272375,37.04491286927522,10.12324603054312,2164.5249999999996,21645.260000000002,21648.876300507756,1707.853304647112,15.488,15.439,15.537,23.970899999999993,1062792.0,12.724640598044854,18.519256097560977,21601.90081523006,2,1707.1280135009367
F_lat_centralindia,F01,16,1,1000,6,207.0,360,6.0185430372598745,5.995871463001699,6.056511589798853,0.30905062099790825,4016.2333333333336,4016.2333333333336,4019.5296187853455,1572.7305954159683,225.463,224.558,225.831,227.282,1109392.0,4.628571428571429,1.8051308634898824,3990.4971229379394,3,1571.3478924293433
F_lat_centralus,F01,16,1,1000,6,0.1,360,6.056973417794123,5.997291622019171,6.101729819621321,0.9495569632353945,3998.47,3998.47,3999.2372402765154,1592.3618049282243,22.286,21.918,22.585,25.029,10080.0,5.105432262827612,2.902706401766005,3974.675398028014,3,1588.4068052372259
F_lat_eastus,F01,16,1,1000,6,23.2,360,6.00297645688456,5.969930940372929,6.063667819519128,0.04960761474265644,4007.116666666667,4007.116666666667,4007.80726934557,1576.4373987288143,40.264,40.04900000000001,40.374,41.632000000000005,12120.0,4.854942414174972,2.207666666666667,4005.7090522321573,3,1570.8494573207295
F_lat_northeurope,F01,16,1,1000,6,99.5,360,6.01175883106252,5.977136477208864,6.0785459996327065,0.19598051770867161,4009.1666666666665,4009.1666666666665,4008.99129443954,1576.5959471244223,113.067,113.00549999999998,113.385,114.4867,1089768.0,4.846703211517165,2.121412803532009,3972.1906376520733,3,1572.3432204631586
